Gender,Married,Education,Self_Employed,ApplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,TotalIncome,LoanAmount/TotalIncome,Graduate&Self_Employed,TotalIncome_log,PA_Rural,PA_Urban,Dependents_num
0.0,0.0,1.0,0.0,5849,146.41216216216216,360.0,1.0,1.0,5849.0,0.02503199900190839,0.0,8.674025985443025,0,1,0.0
0.0,1.0,1.0,0.0,4583,128.0,360.0,1.0,1.0,6091.0,0.0210146117222131,0.0,8.714567550836485,1,0,1.0
0.0,1.0,1.0,1.0,3000,66.0,360.0,1.0,1.0,3000.0,0.022,1.0,8.006367567650246,0,1,0.0
0.0,1.0,0.0,0.0,2583,120.0,360.0,1.0,1.0,4941.0,0.024286581663630843,0.0,8.50532301884575,0,1,0.0
0.0,0.0,1.0,0.0,6000,141.0,360.0,1.0,1.0,6000.0,0.0235,0.0,8.699514748210191,0,1,0.0
0.0,1.0,1.0,1.0,5417,267.0,360.0,1.0,1.0,9613.0,0.027774888172266723,1.0,9.170871628065816,0,1,2.0
0.0,1.0,0.0,0.0,2333,95.0,360.0,1.0,1.0,3849.0,0.024681735515718367,0.0,8.255568653283746,0,1,0.0
0.0,1.0,1.0,0.0,3036,158.0,360.0,0.0,0.0,5540.0,0.02851985559566787,0.0,8.61974977974133,0,0,3.2
0.0,1.0,1.0,0.0,4006,168.0,360.0,1.0,1.0,5532.0,0.03036876355748373,0.0,8.61830469278465,0,1,2.0
0.0,1.0,1.0,0.0,12841,349.0,360.0,1.0,1.0,23809.0,0.014658322483094628,0.0,10.077818939438902,0,0,1.0
0.0,1.0,1.0,0.0,3200,70.0,360.0,1.0,1.0,3900.0,0.017948717948717947,0.0,8.268731832117737,0,1,2.0
0.0,1.0,1.0,0.0,2500,109.0,360.0,1.0,1.0,4340.0,0.02511520737327189,0.0,8.375629627094451,0,1,2.0
0.0,1.0,1.0,0.0,3073,200.0,360.0,1.0,1.0,11179.0,0.01789068789694964,0.0,9.321792297270326,0,1,2.0
0.0,0.0,1.0,0.0,1853,114.0,360.0,1.0,1.0,4693.0,0.024291497975708502,0.0,8.453827315794417,1,0,0.0
0.0,1.0,1.0,0.0,1299,17.0,120.0,1.0,1.0,2385.0,0.007127882599580713,0.0,7.776954403322442,0,1,2.0
0.0,0.0,1.0,0.0,4950,125.0,360.0,1.0,1.0,4950.0,0.025252525252525252,0.0,8.507142855562735,0,1,0.0
0.0,0.0,0.0,0.0,3596,100.0,240.0,1.0,0.0,3596.0,0.027808676307007785,0.0,8.18757739559151,0,1,1.0
1.0,0.0,1.0,0.0,3510,76.0,360.0,0.0,0.0,3510.0,0.021652421652421653,0.0,8.163371316459912,0,1,0.0
0.0,1.0,0.0,0.0,4887,133.0,360.0,1.0,0.0,4887.0,0.027215060364231634,0.0,8.494333897270154,1,0,0.0
0.0,1.0,1.0,0.0,2600,115.0,342.0,1.0,1.0,6100.0,0.018852459016393444,0.0,8.716044050161402,0,1,0.0
0.0,1.0,0.0,0.0,7660,104.0,360.0,0.0,1.0,7660.0,0.013577023498694517,0.0,8.943767262734637,0,1,0.0
0.0,1.0,1.0,0.0,5955,315.0,360.0,1.0,1.0,11580.0,0.027202072538860103,0.0,9.357034751126987,0,1,1.0
0.0,1.0,0.0,0.0,2600,116.0,360.0,0.0,0.0,4511.0,0.025714919086677012,0.0,8.414274137408396,0,0,0.0
0.0,1.0,0.0,0.0,3365,112.0,360.0,0.0,1.0,5282.0,0.021204089360090876,0.0,8.572060092857077,1,0,2.0
0.0,1.0,1.0,0.0,3717,151.0,360.0,1.0,1.0,6642.0,0.02273411623005119,0.0,8.801168401936692,0,0,1.0
0.0,1.0,1.0,1.0,9560,191.0,360.0,1.0,1.0,9560.0,0.01997907949790795,1.0,9.165343006045447,0,0,0.0
0.0,1.0,1.0,0.0,2799,122.0,360.0,1.0,1.0,5052.0,0.02414885193982581,0.0,8.527539483470381,0,0,0.0
0.0,1.0,0.0,0.0,4226,110.0,360.0,1.0,1.0,5266.0,0.020888720091150777,0.0,8.569026340056254,0,1,2.0
0.0,0.0,0.0,0.0,1442,35.0,360.0,1.0,0.0,1442.0,0.024271844660194174,0.0,7.273786317844895,0,1,0.0
1.0,0.0,1.0,0.0,3750,120.0,360.0,1.0,1.0,5833.0,0.020572604148808505,0.0,8.671286726753637,0,0,2.0
0.0,1.0,1.0,0.0,4166,201.0,360.0,1.0,1.0,7535.0,0.026675514266755143,0.0,8.927314111060596,0,1,1.0
