0.000,-0.589
0.000,-0.501
0.000,-0.589
0.000,-0.574
0.000,-0.484
0.000,-0.516
0.000,-0.473
0.000,-0.573
0.000,-0.591
0.000,-0.494
0.000,-0.549
0.000,-0.595
0.000,-0.552
0.000,-0.575
0.000,-0.487
0.000,-0.636
0.000,-0.548
0.000,-0.587
0.000,-0.600
0.000,-0.529
0.000,-0.547
0.000,-0.490
0.000,-0.451
0.000,-0.589
0.000,-0.560
0.000,-0.566
0.000,-0.484
0.000,-0.607
0.000,-0.569
0.000,-0.521
0.000,-0.440
0.000,-0.527
0.000,-0.540
0.000,-0.475
0.000,-0.561
0.000,-0.566
0.000,-0.563
0.000,-0.515
0.000,-0.463
0.000,-0.523
0.000,-0.540
0.000,-0.462
0.000,-0.473
0.000,-0.582
0.000,-0.523
0.000,-0.541
0.000,-0.566
0.000,-0.436
0.000,-0.478
0.000,-0.449
0.000,-0.460
0.000,-0.549
0.000,-0.402
0.000,-0.559
0.000,-0.562
0.000,-0.501
0.000,-0.540
0.000,-0.435
0.000,-0.498
0.000,-0.449
0.000,-0.567
0.000,-0.545
0.000,-0.528
0.001,-0.458
0.001,-0.600
0.001,-0.446
0.001,-0.505
0.001,-0.615
0.001,-0.489
0.001,-0.481
0.001,-0.496
0.001,-0.489
0.001,-0.503
0.001,-0.597
0.001,-0.526
0.001,-0.487
0.001,-0.408
0.001,-0.477
0.001,-0.505
0.001,-0.455
0.001,-0.446
0.001,-0.540
0.001,-0.521
0.001,-0.537
0.001,-0.460
0.001,-0.494
0.001,-0.616
0.001,-0.454
0.001,-0.421
0.001,-0.487
0.001,-0.409
0.001,-0.527
0.001,-0.446
0.001,-0.451
0.001,-0.514
0.001,-0.420
0.001,-0.617
0.001,-0.451
0.001,-0.449
0.001,-0.506
0.001,-0.462
0.001,-0.404
0.001,-0.529
0.001,-0.457
0.001,-0.503
0.001,-0.386
0.001,-0.457
0.001,-0.537
0.001,-0.477
0.001,-0.444
0.001,-0.456
0.001,-0.433
0.001,-0.484
0.001,-0.467
0.001,-0.467
0.001,-0.525
0.001,-0.476
0.001,-0.460
0.001,-0.426
0.001,-0.477
0.001,-0.454
0.001,-0.528
0.001,-0.479
0.001,-0.596
0.001,-0.518
0.001,-0.429
0.001,-0.490
0.001,-0.385
0.001,-0.491
0.001,-0.453
0.001,-0.366
0.001,-0.530
0.001,-0.571
0.001,-0.393
0.001,-0.530
0.001,-0.438
0.001,-0.519
0.001,-0.440
0.001,-0.522
0.001,-0.474
0.001,-0.443
0.001,-0.462
0.001,-0.453
0.001,-0.410
0.001,-0.483
0.001,-0.514
0.001,-0.531
0.001,-0.412
0.001,-0.494
0.001,-0.416
0.001,-0.491
0.001,-0.465
0.001,-0.397
0.001,-0.408
0.001,-0.385
0.001,-0.514
0.001,-0.501
0.001,-0.397
0.001,-0.420
0.001,-0.383
0.001,-0.354
0.001,-0.486
0.001,-0.498
0.001,-0.358
0.001,-0.512
0.001,-0.366
0.001,-0.377
0.001,-0.405
0.001,-0.474
0.001,-0.518
0.001,-0.368
0.001,-0.410
0.001,-0.453
0.001,-0.372
0.001,-0.463
0.001,-0.479
0.001,-0.411
0.001,-0.427
0.001,-0.406
0.001,-0.460
0.001,-0.471
0.001,-0.392
0.001,-0.396
0.001,-0.311
0.001,-0.371
0.001,-0.366
0.001,-0.351
0.001,-0.482
0.001,-0.409
